"Method","Trial","Time"
"encrypt","16","9.3190605"
"encrypt","3","8.2678604"
"encrypt","5","8.1209564"
"encrypt","21","9.5225499"
"encrypt","18","9.5609497"
"encrypt","12","7.8536171"
"encrypt","10","7.693769"
"encrypt","2","9.7512022"
"encrypt","22","9.2673584"
"encrypt","8","9.4623545"
"encrypt","17","7.7114986"
"encrypt","11","7.4054984"
"encrypt","1","7.8914988"
"encrypt","9","9.6568188"
"encrypt","24","7.6650005"
"encrypt","14","9.2156812"
"encrypt","7","8.7887364"
"encrypt","15","8.9121503"
"encrypt","20","9.5483032"
"encrypt","25","9.4323876"
"encrypt","23","10.0652904"
"encrypt","6","7.7277285"
"encrypt","4","7.9837911"
"encrypt","19","7.9643344"
"encrypt","13","9.2333225"
"decrypt","16","8.5238093"
"decrypt","3","8.6060237"
"decrypt","5","8.5655434"
"decrypt","21","8.8702063"
"decrypt","18","8.6897393"
"decrypt","12","8.398715"
"decrypt","10","8.5002796"
"decrypt","2","8.8731202"
"decrypt","22","8.7696796"
"decrypt","8","8.510381"
"decrypt","17","8.090444"
"decrypt","11","9.8446874"
"decrypt","1","8.9856459"
"decrypt","9","8.4742182"
"decrypt","24","9.7858421"
"decrypt","14","8.439148"
"decrypt","7","8.0557241"
"decrypt","15","8.6106684"
"decrypt","20","8.8278047"
"decrypt","25","8.6437323"
"decrypt","23","8.443797"
"decrypt","6","8.6537923"
"decrypt","4","9.3364446"
"decrypt","19","8.2806335"
"decrypt","13","8.5339818"
