"Method","Trial","Time"
"encrypt","78","0.0975005"
"encrypt","10","0.0850705"
"encrypt","63","0.0811115"
"encrypt","30","0.0830473"
"encrypt","87","0.0814949"
"encrypt","49","0.0801855"
"encrypt","62","0.0997321"
"encrypt","22","0.08106"
"encrypt","13","0.0874986"
"encrypt","47","0.0841605"
"encrypt","71","0.0774778"
"encrypt","77","0.0835181"
"encrypt","73","0.0887368"
"encrypt","91","0.0835023"
"encrypt","3","0.0799799"
"encrypt","8","0.0831748"
"encrypt","12","0.0852432"
"encrypt","65","0.0855125"
"encrypt","40","0.0854095"
"encrypt","14","0.086364"
"encrypt","26","0.1395327"
"encrypt","17","0.0834983"
"encrypt","28","0.0854925"
"encrypt","99","0.0860429"
"encrypt","76","0.0814417"
"encrypt","36","0.0841297"
"encrypt","4","0.0833593"
"encrypt","50","0.0871527"
"encrypt","45","0.083909"
"encrypt","60","0.0892148"
"encrypt","38","0.0842571"
"encrypt","83","0.0879016"
"encrypt","85","0.0863268"
"encrypt","96","0.0823406"
"encrypt","82","0.084041"
"encrypt","23","0.0808462"
"encrypt","51","0.0832971"
"encrypt","92","0.0826783"
"encrypt","20","0.0830426"
"encrypt","59","0.0806501"
"encrypt","86","0.0824225"
"encrypt","69","0.0788284"
"encrypt","54","0.0859684"
"encrypt","66","0.0829741"
"encrypt","57","0.07978"
"encrypt","43","0.083326"
"encrypt","95","0.0814995"
"encrypt","80","0.1078461"
"encrypt","35","0.1151768"
"encrypt","41","0.080158"
"encrypt","5","0.0804994"
"encrypt","34","0.1015947"
"encrypt","6","0.0835502"
"encrypt","53","0.0811889"
"encrypt","2","0.0811148"
"encrypt","44","0.0833056"
"encrypt","98","0.0885678"
"encrypt","72","0.07948"
"encrypt","11","0.0840506"
"encrypt","70","0.0839467"
"encrypt","68","0.0799694"
"encrypt","1","0.0852701"
"encrypt","58","0.0816073"
"encrypt","55","0.0830457"
"encrypt","33","0.0790631"
"encrypt","88","0.0898695"
"encrypt","67","0.0805912"
"encrypt","27","0.0789353"
"encrypt","16","0.0803856"
"encrypt","64","0.0852888"
"encrypt","24","0.0798656"
"encrypt","19","0.0833477"
"encrypt","29","0.0864989"
"encrypt","61","0.0835854"
"encrypt","94","0.0789846"
"encrypt","97","0.0947849"
"encrypt","9","0.0870018"
"encrypt","74","0.0813011"
"encrypt","37","0.0840008"
"encrypt","7","0.0849432"
"encrypt","52","0.0804445"
"encrypt","81","0.0815179"
"encrypt","39","0.0830835"
"encrypt","48","0.0908014"
"encrypt","93","0.0832689"
"encrypt","90","0.0874082"
"encrypt","21","0.0801565"
"encrypt","56","0.0833444"
"encrypt","46","0.0791109"
"encrypt","75","0.0870025"
"encrypt","79","0.0850462"
"encrypt","84","0.0857136"
"encrypt","32","0.0829432"
"encrypt","89","0.0834994"
"encrypt","31","0.0925"
"encrypt","15","0.0792429"
"encrypt","25","0.0866241"
"encrypt","18","0.082366"
"encrypt","42","0.0843869"
"encrypt","100","0.0814893"
"decrypt","78","0.1081447"
"decrypt","10","0.0820218"
"decrypt","63","0.0800344"
"decrypt","30","0.0854843"
"decrypt","87","0.0834995"
"decrypt","49","0.0907814"
"decrypt","62","0.0822872"
"decrypt","22","0.0861666"
"decrypt","13","0.0820034"
"decrypt","47","0.086611"
"decrypt","71","0.0832152"
"decrypt","77","0.0830001"
"decrypt","73","0.0784467"
"decrypt","91","0.0869449"
"decrypt","3","0.0916882"
"decrypt","8","0.0844972"
"decrypt","12","0.0802721"
"decrypt","65","0.079096"
"decrypt","40","0.0839973"
"decrypt","14","0.0820568"
"decrypt","26","0.0915205"
"decrypt","17","0.0854616"
"decrypt","28","0.0845025"
"decrypt","99","0.0820197"
"decrypt","76","0.082234"
"decrypt","36","0.0864986"
"decrypt","4","0.1062472"
