"Method","Trial","Time"
"encrypt","78","0.0845468"
"encrypt","10","0.0830201"
"encrypt","63","0.0844864"
"encrypt","30","0.085501"
"encrypt","87","0.0820481"
"encrypt","49","0.082958"
"encrypt","62","0.0825229"
"encrypt","22","0.081999"
"encrypt","13","0.086"
"encrypt","47","0.0809997"
"encrypt","71","0.0824528"
"encrypt","77","0.082207"
"encrypt","73","0.0890924"
"encrypt","91","0.0816133"
"encrypt","3","0.0825005"
"encrypt","8","0.3471975"
"encrypt","12","0.0829949"
"encrypt","65","0.0800042"
"encrypt","40","0.0860004"
"encrypt","14","0.0829986"
"encrypt","26","0.081998"
"encrypt","17","0.0824982"
"encrypt","28","0.0841408"
"encrypt","99","0.0827589"
"encrypt","76","0.0814983"
"encrypt","36","0.0865001"
"encrypt","4","0.0829987"
"encrypt","50","0.1000002"
"encrypt","45","0.0834994"
"encrypt","60","0.0835013"
"encrypt","38","0.0834973"
"encrypt","83","0.0835005"
"encrypt","85","0.0894982"
"encrypt","96","0.0845173"
"encrypt","82","0.0885006"
"encrypt","23","0.0811781"
"encrypt","51","0.0820028"
"encrypt","92","0.0820718"
"encrypt","20","0.0829994"
"encrypt","59","0.0843219"
"encrypt","86","0.0844996"
"encrypt","69","0.0825015"
"encrypt","54","0.0836486"
"encrypt","66","0.0820008"
"encrypt","57","0.0849987"
"encrypt","43","0.0845011"
"encrypt","95","0.0832737"
"encrypt","80","0.0827129"
"encrypt","35","0.084277"
"encrypt","41","0.083996"
"encrypt","5","0.0834828"
"encrypt","34","0.0844965"
"encrypt","6","0.0873603"
"encrypt","53","0.0824989"
"encrypt","2","0.0826976"
"encrypt","44","0.0834981"
"encrypt","98","0.0851435"
"encrypt","72","0.0835085"
"encrypt","11","0.0864959"
"encrypt","70","0.0853603"
"encrypt","68","0.0815589"
"encrypt","1","0.0779987"
"encrypt","58","0.0981298"
"encrypt","55","0.0835525"
"encrypt","33","0.0875264"
"encrypt","88","0.0849975"
"encrypt","67","0.0850791"
"encrypt","27","0.0850023"
"encrypt","16","0.0810441"
"encrypt","64","0.0870003"
"encrypt","24","0.0862819"
"encrypt","19","0.0849996"
"encrypt","29","0.0955526"
"encrypt","61","0.0864989"
"encrypt","94","0.0885275"
"encrypt","97","0.0821315"
"encrypt","9","0.0839974"
"encrypt","74","0.0840176"
"encrypt","37","0.0804991"
"encrypt","7","0.0850007"
"encrypt","52","0.0839062"
"encrypt","81","0.0855017"
"encrypt","39","0.0830003"
"encrypt","48","0.0809988"
"encrypt","93","0.0846022"
"encrypt","90","0.0812798"
"encrypt","21","0.0825023"
"encrypt","56","0.0824629"
"encrypt","46","0.0819995"
"encrypt","75","0.0826032"
"encrypt","79","0.0852552"
"encrypt","84","0.0830022"
"encrypt","32","0.086659"
"encrypt","89","0.0849996"
"encrypt","31","0.0842871"
"encrypt","15","0.0825001"
"encrypt","25","0.0810016"
"encrypt","18","0.0799996"
"encrypt","42","0.083428"
"encrypt","100","0.0831239"
"decrypt","78","0.0813482"
"decrypt","10","0.0909835"
"decrypt","63","0.0850014"
"decrypt","30","0.0819991"
"decrypt","87","0.0810014"
"decrypt","49","0.0815007"
"decrypt","62","0.0820619"
"decrypt","22","0.0816569"
"decrypt","13","0.0810006"
"decrypt","47","0.1034997"
"decrypt","71","0.0856403"
"decrypt","77","0.079055"
"decrypt","73","0.0817575"
"decrypt","91","0.0871382"
"decrypt","3","0.0895015"
"decrypt","8","0.0915035"
"decrypt","12","0.0815003"
"decrypt","65","0.0809442"
"decrypt","40","0.0890054"
"decrypt","14","0.0880002"
"decrypt","26","0.0785137"
"decrypt","17","0.0819861"
"decrypt","28","0.0821578"
"decrypt","99","0.0832734"
"decrypt","76","0.0821679"
"decrypt","36","0.0870009"
"decrypt","4","0.0834989"
"decrypt","50","0.0834999"
"decrypt","45","0.0840003"
"decrypt","60","0.0800005"
"decrypt","38","0.0919862"
"decrypt","83","0.0809987"
"decrypt","85","0.0853512"
"decrypt","96","0.1039833"
"decrypt","82","0.0830002"
"decrypt","23","0.083498"
"decrypt","51","0.0814977"
"decrypt","92","0.081145"
"decrypt","20","0.0834988"
"decrypt","59","0.0791634"
"decrypt","86","0.0829897"
"decrypt","69","0.0820043"
"decrypt","54","0.0796652"
"decrypt","66","0.080112"
"decrypt","57","0.0899648"
"decrypt","43","0.082998"
"decrypt","95","0.0855012"
"decrypt","80","0.0809996"
"decrypt","35","0.082999"
"decrypt","41","0.0829983"
"decrypt","5","0.0834995"
"decrypt","34","0.0855021"
"decrypt","6","0.0823736"
"decrypt","53","0.0815005"
"decrypt","2","0.0826093"
"decrypt","44","0.0869999"
"decrypt","98","0.0832842"
"decrypt","72","0.1117766"
"decrypt","11","0.0830051"
"decrypt","70","0.082218"
"decrypt","68","0.1098889"
"decrypt","1","0.0820685"
"decrypt","58","0.0840199"
"decrypt","55","0.0896838"
"decrypt","33","0.0829855"
"decrypt","88","0.0844995"
"decrypt","67","0.085591"
"decrypt","27","0.0839962"
"decrypt","16","0.0865358"
"decrypt","64","0.0796622"
"decrypt","24","0.0890011"
"decrypt","19","0.0890477"
"decrypt","29","0.0824996"
"decrypt","61","0.0869995"
"decrypt","94","0.0812241"
"decrypt","97","0.0824512"
"decrypt","9","0.0805015"
"decrypt","74","0.0834994"
"decrypt","37","0.0795028"
"decrypt","7","0.0810007"
"decrypt","52","0.0815003"
"decrypt","81","0.0814979"
"decrypt","39","0.0790006"
"decrypt","48","0.0891428"
"decrypt","93","0.0902762"
"decrypt","90","0.1052628"
"decrypt","21","0.0891437"
"decrypt","56","0.0865019"
"decrypt","46","0.0840001"
"decrypt","75","0.0785026"
"decrypt","79","0.0840067"
"decrypt","84","0.0819996"
"decrypt","32","0.0794997"
"decrypt","89","0.0805005"
"decrypt","31","0.0805037"
"decrypt","15","0.0867923"
"decrypt","25","0.0829953"
"decrypt","18","0.0850025"
"decrypt","42","0.0814417"
"decrypt","100","0.0796408"
