"Method","Trial","Time"
"encrypt","7","0.0871227"
"encrypt","9","0.0805009"
"encrypt","10","0.0884992"
"encrypt","3","0.0855024"
"encrypt","2","0.084497"
"encrypt","1","0.0974987"
"encrypt","4","0.0820001"
"encrypt","6","0.0830044"
"encrypt","5","0.082479"
"encrypt","8","0.083002"
"decrypt","7","0.0825017"
"decrypt","9","0.0855039"
"decrypt","10","0.0845022"
"decrypt","3","0.084"
"decrypt","2","0.0945012"
"decrypt","1","0.0830221"
"decrypt","4","0.0860208"
"decrypt","6","0.08153"
"decrypt","5","0.0805004"
"decrypt","8","0.3459568"
